Element ID,Step 1 : R,Step 2 : R,Step 3 : R,Step 4 : R,Step 5 : R,Step 6 : R,Step 7 : R,Step 8 : R,Step 9 : R,Step 10 : R,Step 11 : R,Step 12 : R,Step 13 : R,Step 14 : R,Step 15 : R,Step 16 : R,Step 17 : R,Step 18 : R,Step 19 : R,Step 20 : R,Step 21 : R,Position X,Position Y,Position Z
746,-2.50532557E-2,-2.39724366E-2,-2.29401618E-2,-2.21398950E-2,-2.19774965E-2,-2.30832828E-2,-2.55093885E-2,-2.87731324E-2,-3.06068357E-2,-3.04627021E-2,-2.94815566E-2,-2.81795106E-2,-2.66848927E-2,-2.50791151E-2,-2.38291488E-2,-2.36258496E-2,-2.45066707E-2,-2.59696177E-2,-2.65472307E-2,-2.60520883E-2,-2.50532867E-2,82.0346,46.3761,0
747,-2.41536126E-2,-2.29436226E-2,-2.17790412E-2,-2.08743431E-2,-2.06859661E-2,-2.19129613E-2,-2.46119389E-2,-2.82453331E-2,-3.02910048E-2,-3.01387975E-2,-2.90569037E-2,-2.76070634E-2,-2.59364902E-2,-2.41428619E-2,-2.27504065E-2,-2.25286103E-2,-2.35129599E-2,-2.51466688E-2,-2.57969582E-2,-2.52574576E-2,-2.41534616E-2,82.877,46.6005,0
748,-2.60562346E-2,-2.49699071E-2,-2.39343739E-2,-2.31322277E-2,-2.29706138E-2,-2.40842029E-2,-2.65263039E-2,-2.98119565E-2,-3.16573742E-2,-3.15104433E-2,-3.05198350E-2,-2.92089467E-2,-2.77059461E-2,-2.60909108E-2,-2.48331207E-2,-2.46284773E-2,-2.55130716E-2,-2.69842911E-2,-2.75640009E-2,-2.70633419E-2,-2.60563122E-2,82.3277,46.9955,0
749,7.07120179E-1,6.84404346E-1,6.63993006E-1,6.48878474E-1,6.46120204E-1,6.67944723E-1,7.19228083E-1,7.93699867E-1,8.38127685E-1,8.33796303E-1,8.09559716E-1,7.78817172E-1,7.44555329E-1,7.09181029E-1,6.82680325E-1,6.78482933E-1,6.96719142E-1,7.28378268E-1,7.40950677E-1,7.29421717E-1,7.07124024E-1,127.936,4.28108,0
750,7.19832245E-1,6.95442593E-1,6.73493585E-1,6.57238328E-1,6.54231921E-1,6.77529712E-1,7.32524026E-1,8.12501394E-1,8.59866643E-1,8.55359981E-1,8.29661799E-1,7.96747117E-1,7.59866373E-1,7.21789886E-1,6.93333904E-1,6.88846212E-1,7.08426554E-1,7.42470356E-1,7.56028902E-1,7.43714973E-1,7.19834578E-1,127.343,4.11084,0
751,2.39339128E-1,2.41126359E-1,2.43567295E-1,2.45676315E-1,2.46518458E-1,2.45455947E-1,2.42816624E-1,2.39523795E-1,2.37660067E-1,2.36871635E-1,2.36893112E-1,2.38054034E-1,2.40107746E-1,2.42384291E-1,2.43887596E-1,2.43878064E-1,2.42451513E-1,2.40390180E-1,2.39125978E-1,2.38798154E-1,2.39353204E-1,112.337,60.1135,0
752,2.48869905E-1,2.50682899E-1,2.53156383E-1,2.55291818E-1,2.56144461E-1,2.55065747E-1,2.52335182E-1,2.48873304E-1,2.46888852E-1,2.46118375E-1,2.46208361E-1,2.47450973E-1,2.49578219E-1,2.51926020E-1,2.53480646E-1,2.53471624E-1,2.52017023E-1,2.49888662E-1,2.48599789E-1,2.48291613E-1,2.48884107E-1,112.936,60.2603,0
753,7.74694096E-3,7.73911127E-3,7.74672229E-3,7.75319393E-3,7.75995813E-3,7.77274456E-3,7.80307360E-3,7.84290077E-3,7.86423524E-3,7.77934389E-3,7.82630054E-3,7.80370530E-3,7.78893912E-3,7.78765711E-3,7.77504968E-3,7.69818301E-3,7.77346847E-3,7.78393923E-3,7.78260112E-3,7.75336110E-3,7.74643793E-3,55.9072,28.7394,0
754,7.93127610E-3,7.91754485E-3,7.92255916E-3,7.92633459E-3,7.93287892E-3,7.95109954E-3,7.99294049E-3,8.04925195E-3,8.07992346E-3,8.01469331E-3,8.03266022E-3,8.00404944E-3,7.98532415E-3,7.97478632E-3,7.95627719E-3,7.89288263E-3,7.95736348E-3,7.97437862E-3,7.97540621E-3,7.94502258E-3,7.93041921E-3,62.7853,3.07264,0
755,2.12532053E-3,2.11916857E-3,2.11926983E-3,2.11905545E-3,2.12063772E-3,2.12775186E-3,2.14368539E-3,2.16561117E-3,2.17763078E-3,2.16828387E-3,2.16129512E-3,2.15075388E-3,2.14430694E-3,2.13778385E-3,2.13037179E-3,2.12174729E-3,2.13184901E-3,2.13915784E-3,2.14051994E-3,2.13202826E-3,2.12481232E-3,59.1034,1.06542,0
756,1.55341862E-3,1.54831966E-3,1.54804538E-3,1.54757357E-3,1.54868616E-3,1.55446177E-3,1.56730926E-3,1.58507424E-3,1.59483935E-3,1.58998904E-3,1.58194194E-3,1.57357915E-3,1.56842181E-3,1.56273139E-3,1.55669148E-3,1.55256304E-3,1.55807039E-3,1.56411541E-3,1.56538406E-3,1.55906813E-3,1.55297131E-3,59.331,0.460807,0
757,1.41907216E-3,1.42035032E-3,1.42275423E-3,1.42517647E-3,1.42658707E-3,1.42668016E-3,1.42751089E-3,1.42795867E-3,1.42804426E-3,1.40415378E-3,1.42484459E-3,1.42323068E-3,1.42223372E-3,1.42572637E-3,1.42587518E-3,1.40452435E-3,1.42439689E-3,1.42355725E-3,1.42222933E-3,1.41722536E-3,1.41920825E-3,51.6125,29.2665,0
